Route_Short_Name,Route_Long_Name,Traffic_Volume,Incidents,Incidents_per_100k,Recommendation_Score
303,MAX Orange Brentwood/Saddletowne,908510.0,3497,384.91596129927024,0.43096033880196094
20,Heritage Station/Northmount Dr N,1099000.0,2715,247.04276615104638,0.41382857052326805
304,MAX Yellow Woodpark/City Centre,994000.0,2842,285.9154929577465,0.4022182080296148
9,Dalhousie Station/Chinook Station,938000.0,2566,273.5607675906183,0.3729047595641285
43,McKnight - Westwinds Station/Chinook Station,747780.0,2804,374.9765973949557,0.35471976592000765
201,Red Line,921140.0,2129,231.12664741515948,0.33991785029875476
70,Valley Ridge Express,893000.0,1865,208.8465845464726,0.3164517190947762
2,Mount Pleasant/Killarney 17 Av SW,767000.0,2104,274.3155149934811,0.3091476070391898
306,MAX Teal Westbrook/Douglas Glen,637780.0,2347,367.9952334660855,0.3035632692743944
148,Great Plains Industrial,648980.0,2112,325.4337575888317,0.2885959524364771
19,16 Avenue North,749510.0,1722,229.7501034008886,0.27915835565380404
5,North Haven,563000.0,1997,354.7069271758437,0.26577670668631187
41,Lynnwood,630760.0,1719,272.5283784640751,0.2571547786612238
36,Riverbend,630760.0,1717,272.2113006531803,0.2570107074620751
22,Richmond Rd SW,665000.0,1604,241.203007518797,0.25510519500980905
